source_sheet,sku,model,category_slug,brand_slug,condition,quantityTotal,quantityAvailable,dailyPrice,weeklyPrice,monthlyPrice,purchasePrice,depositAmount,requiresDeposit,featured,isActive,requiresAssistant,budgetTier,warehouseLocation,barcode,tags,boxContents,bufferTime,bufferTimeUnit,featuredImageUrl,galleryImageUrls,videoUrl,name_ar,name_en,name_zh,description_ar,description_en,description_zh,shortDescription_ar,shortDescription_en,shortDescription_zh,longDescription_ar,longDescription_en,longDescription_zh,seoTitle_ar,seoTitle_en,seoTitle_zh,seoDescription_ar,seoDescription_en,seoDescription_zh,seoKeywords_ar,seoKeywords_en,seoKeywords_zh,specifications_notes
Camera Acc ,,Director Cage,,,,1,1,,,,,,,,,,,,20000004,,"Director Cage from Wooden
Sun shader",0,hours,,,,,Director Cage,,,,,,,,,,,,,,,,,,,,
Camera Acc ,,Sekonic C-800,,,,1,1,,,,,,,,,,,,20000005,,Carrying case and cable and the color meter,0,hours,,,,,Sekonic C-800,,,,,,,,,,,,,,,,,,,,
Camera Acc ,,Sony  Cfexpress Reader,,,,1,1,,,,,,,,,,,,20000006,,Cable,0,hours,,,,,قارئ بطاقات سوني CFexpress Type A / SD,Sony CFexpress Type A / SD Card Reader,索尼 CFexpress Type A / SD 读卡器,السرعة التي يحتاجها الإنتاج الحديث. قارئ بطاقات سوني الأصلي هو الحلقة المفقودة بين الكاميرا وغرفة المونتاج. ينقل ملفات 4K الضخمة في ثوانٍ معدودة بفضل واجهة USB 3.2. لا تدع نقل البيانات يبطئ من وتيرة عملك في السعودية.,The speed modern production demands. The original Sony card reader is the missing link between your camera and the edit bay. Transfer massive 4K files in seconds thanks to its USB 3.2 interface. Don't let data wrangling slow down your workflow in KSA.,现代制作所需的速度。原装索尼读卡器是您的相机和剪辑室之间缺失的一环。得益于其 USB 3.2 接口，可在几秒钟内传输海量 4K 文件。不要让数据整理拖慢您在沙特的工作流程。,قارئ بطاقات مزدوج فائق السرعة (CFexpress Type A و SD)، واجهة USB 3.2 Gen 2 لنقل سريع لملفات الفيديو الضخمة.,"Ultra-fast dual card reader (CFexpress Type A & SD), USB 3.2 Gen 2 interface for rapid transfer of massive video files.",超高速双卡读卡器 (CFexpress Type A & SD)，USB 3.2 Gen 2 接口，用于快速传输海量视频文件。,الوقت هو المال في أي موقع تصوير. تم تصميم قارئ بطاقات Sony MRW-G2 لتحقيق أقصى استفادة من بطاقات CFexpress Type A المستخدمة في كاميرات FX3 و A7S III. يوفر سرعات نقل بيانات مذهلة تصل إلى 10 جيجابت في الثانية، مما يعني أن تفريغ تيرابايت من لقطات 4K بترميز 10-bit يتم في جزء بسيط من الوقت مقارنة بالقوارئ العادية. يتميز بتصميم معدني قوي لتبديد الحرارة، وهو أداة لا غنى عنها لمسؤولي البيانات (DIT) في الرياض لضمان نسخ احتياطي سريع وآمن.,"Time is money on any film set. The Sony MRW-G2 card reader is specifically engineered to maximize the performance of CFexpress Type A cards used in the FX3 and A7S III. It delivers blistering data transfer speeds up to 10 Gbps, meaning offloading terabytes of 10-bit 4K footage takes a fraction of the time compared to standard readers. Featuring a robust metal design for heat dissipation, this is a mandatory tool for Data Wranglers and DITs in Riyadh to ensure rapid, secure backups.",时间在任何片场都是金钱。索尼 MRW-G2 读卡器专为最大限度地发挥 FX3 和 A7S III 中使用的 CFexpress Type A 存储卡的性能而设计。它提供高达 10 Gbps 的极速数据传输速度，这意味着与标准读卡器相比，卸载 TB 级的 10-bit 4K 素材只需极短的时间。它采用坚固的金属设计以利于散热，是利雅得的数据管理员和 DIT 确保快速、安全备份的必备工具。,استئجار قارئ بطاقات سوني CFexpress في الرياض,تأجير معدات DIT السعودية,"Rent Sony CFexpress Type A Reader in Riyadh, KSA",Fast DIT Equipment Hire,在利雅得租赁索尼 CFexpress Type A 读卡器,快速 DIT 设备出租,,,
Camera Acc ,,Filter 82 mm PMVND  6-9 Stops,,,,2,2,,,,,,,,,,,,20000007,,,0,hours,,,,,Filter 82 mm PMVND  6-9 Stops,,,,,,,,,,,,,,,,,,,,
Camera Acc ,,Filter 82 mm PMVND  2-5 Stops,,,,1,1,,,,,,,,,,,,20000008,,,0,hours,,,,,Filter 82 mm PMVND  2-5 Stops,,,,,,,,,,,,,,,,,,,,
Camera Acc ,,IR filter 82 Mm,,,,1,1,,,,,,,,,,,,20000009,,,0,hours,,,,,IR filter 82 Mm,,,,,,,,,,,,,,,,,,,,
Camera Acc ,,Soft Filter 82 Mm,,,,1,1,,,,,,,,,,,,20000010,,,0,hours,,,,,Soft Filter 82 Mm,,,,,,,,,,,,,,,,,,,,
Camera Acc ,,Pearlescent 1/4 82 Mm,,,,1,1,,,,,,,,,,,,20000011,,,0,hours,,,,,Pearlescent 1/4 82 Mm,,,,,,,,,,,,,,,,,,,,
Camera Acc ,,Pro Black almite  72 Mm,,,,1,1,,,,,,,,,,,,20000012,,,0,hours,,,,,Pro Black almite  72 Mm,,,,,,,,,,,,,,,,,,,,
Camera Acc ,,R&M Camera Saddle,,,,1,1,,,,,,,,,,,,20000013,,,0,hours,,,,,R&M Camera Saddle,,,,,,,,,,,,,,,,,,,,
Camera Acc ,,Hihat wood extention,,,,1,1,,,,,,,,,,,,20000014,,,0,hours,,,,,Hihat wood extention,,,,,,,,,,,,,,,,,,,,
Camera Acc ,,[object Object],,,,1,1,,,,,,,,,,,,20000015,,,0,hours,,,,,[object Object],,,,,,,,,,,,,,,,,,,,
Camera Acc ,,ND 0.6 Tiffen Filter,,,,1,1,,,,,,,,,,,,20000016,,,0,hours,,,,,ND 0.6 Tiffen Filter,,,,,,,,,,,,,,,,,,,,
Camera Acc ,,ND 1.2 Tiffen Filter,,,,1,1,,,,,,,,,,,,20000017,,,0,hours,,,,,ND 1.2 Tiffen Filter,,,,,,,,,,,,,,,,,,,,
Camera Acc ,,ND 0.9 Tiffen Filter,,,,1,1,,,,,,,,,,,,20000018,,,0,hours,,,,,ND 0.9 Tiffen Filter,,,,,,,,,,,,,,,,,,,,
Camera Acc ,,Black Prom 1/4 Tiffen Filter,,,,1,1,,,,,,,,,,,,20000019,,,0,hours,,,,,Black Prom 1/4 Tiffen Filter,,,,,,,,,,,,,,,,,,,,
Camera Acc ,,Black Prom 1/8 Tiffen Filter,,,,1,1,,,,,,,,,,,,20000020,,,0,hours,,,,,Black Prom 1/8 Tiffen Filter,,,,,,,,,,,,,,,,,,,,
Camera Acc ,,Hlywd BLK Magic Schneider Filter,,,,1,1,,,,,,,,,,,,20000021,,,0,hours,,,,,Hlywd BLK Magic Schneider Filter,,,,,,,,,,,,,,,,,,,,
Camera Acc ,,Revar Cine Rota Pola,,,,1,1,,,,,,,,,,,,20000022,,,0,hours,,,,,فلتر الاستقطاب الدوار ريفار سيني 4x5.65,Revar Cine Rota Pola 4x5.65,Revar Cine Rota Pola 4x5.65 旋转偏振镜,السيطرة المطلقة على الانعكاسات. يُعد فلتر الاستقطاب الدوار Rota Pola السلاح السري لمصوري السيارات والمناظر الطبيعية، حيث يزيل الانعكاسات المشتتة من الزجاج والماء بلمسة واحدة، ويعمق زرقة السماء لصور تحبس الأنفاس.,"Absolute control over reflections. The Rota Pola is the secret weapon for automotive and landscape cinematographers, effortlessly killing distracting reflections on glass and water with a simple spin, while dramatically deepening blue skies.",对反射的绝对控制。Rota Pola 是汽车和风景摄影师的秘密武器，只需简单旋转即可轻松消除玻璃和水面上令人分心的反射，同时显著加深蓝天。,فلتر استقطاب دائري دوار (CPL) مدمج في إطار 4x5.65، يزيل الانعكاسات ويعمق الألوان، مصمم لصناديق الإضاءة السينمائية (Matte Boxes).,"Rotating Circular Polarizer (CPL) built into a 4x5.65 tray, kills reflections and deepens colors, designed for cinema matte boxes.",内置于 4x5.65 托盘中的旋转圆偏振镜 (CPL)，消除反射并加深色彩，专为电影遮光斗设计。,تصوير إعلانات السيارات في الرياض يتطلب أدوات احترافية للتعامل مع الوهج وانعكاسات الزجاج. يجمع فلتر Revar Cine Rota Pola بين فلتر استقطاب عالي الجودة وإطار 4x5.65 قياسي، مما يسمح لك بتدوير الفلتر بسهولة فائقة داخل الـ Matte Box عن طريق عجلة مسننة في الأعلى. هذا يلغي الحاجة إلى فلاتر دائرية تُربط على العدسة ويمنحك سرعة في ضبط كمية الانعكاس المسموح بها لتشكيل هوية بصرية مذهلة ومريحة للعين.,"Shooting high-end automotive commercials in Riyadh requires professional tools to handle glare and windshield reflections. The Revar Cine Rota Pola masterfully houses a high-quality circular polarizer inside a standard 4x5.65 tray, allowing you to easily spin the filter within your matte box using a top-mounted gear wheel. This completely eliminates the need for cumbersome screw-on filters, giving you rapid, fingertip control over the exact amount of reflection you want to allow, instantly elevating your visual storytelling.",在利雅得拍摄高端汽车商业广告需要专业工具来处理眩光和挡风玻璃的反射。Revar Cine Rota Pola 巧妙地将高质量的圆偏振镜安装在标准的 4x5.65 托盘内，让您可以使用顶部安装的齿轮在遮光斗内轻松旋转滤镜。这彻底消除了对笨重的螺纹滤镜的需求，让您触手可及地快速控制您想要保留的反射量，瞬间提升您的视觉叙事。,استئجار فلتر استقطاب ريفار سيني في الرياض,تأجير فلاتر سينمائية 4x5.65,"Rent Revar Cine Rota Pola in Riyadh, KSA",4x5.65 Polarizer Hire,在利雅得租赁 Revar Cine Rota Pola,4x5.65 偏振镜出租,,,
Camera Acc ,,Tilta Matte box,,,,1,1,,,,,,,,,,,,20000023,,,0,hours,,,,,Tilta Matte box,,,,,,,,,,,,,,,,,,,,
Camera Acc ,,Metabones PL-RF mount,,,,1,1,,,,,,,,,,,,20000024,,,0,hours,,,,,محول عدسات ميتابونز من PL إلى RF,Metabones PL to RF-Mount Adapter,Metabones PL 转 RF 卡口转接环,افتح أبواب هوليوود لكاميرتك. يسمح لك هذا المحول بتركيب أضخم وأعرق العدسات السينمائية (بمنفذ PL) على كاميرات كانون و RED Komodo (بمنفذ RF). الجسر الذي يربط بين تكنولوجيا الكاميرات الحديثة وزجاج السينما الكلاسيكي في الرياض.,"Unlock the gates of Hollywood for your camera. This adapter allows you to mount the heaviest, most legendary cinema lenses (PL Mount) onto modern Canon and RED Komodo cameras (RF Mount). The bridge connecting modern sensor tech with classic cinematic glass in Riyadh.",为您的相机打开好莱坞的大门。这款转接环允许您将最重、最具传奇色彩的电影镜头（PL 卡口）安装到现代佳能和 RED Komodo 相机（RF 卡口）上。在利雅得连接现代传感器技术与经典电影玻璃的桥梁。,محول عدسات سينمائي متين يحول منفذ RF (كاميرات كانون وريد) إلى منفذ PL القياسي في السينما.,Heavy-duty cinema lens adapter converting RF mount (Canon/RED) to the industry-standard PL mount.,重型电影镜头转接环，将 RF 卡口（佳能/RED）转换为行业标准的 PL 卡口。,صُمم محول Metabones PL to RF Mount للمحترفين الذين لا يقبلون بأقل من الدقة المطلقة. سواء كنت تستخدم كاميرا RED Komodo أو كاميرا سينمائية من كانون، يوفر لك هذا المحول تثبيتاً صلباً لا يهتز (Zero-play) لعدسات PL الثقيلة بفضل بنيته المصنوعة من النحاس المطلي بالكروم وقاعدة الدعم الخاصة به. استأجره الآن في السعودية لاستخدام زجاج سينمائي فاخر مثل Arri و Zeiss على كاميرتك الحديثة المدمجة، مما يضفي طابعاً بصرياً فريداً على إنتاجك.,"The Metabones PL to RF Mount adapter is built for professionals who refuse to settle for anything less than absolute precision. Whether you are running a RED Komodo or a Canon cinema camera, this heavy-duty adapter provides a rock-solid, zero-play connection for heavy PL cinema lenses thanks to its chromium-plated brass construction and integrated support foot. Rent it now in KSA to mount premium cinema glass like Arri and Zeiss onto your compact modern camera body, injecting a unique visual character into your production.",Metabones PL 转 RF 卡口转接环专为拒绝在绝对精度上妥协的专业人士而打造。无论您使用的是 RED Komodo 还是佳能电影机，得益于其镀铬黄铜结构和集成的支撑脚，这款重型转接环为沉重的 PL 电影镜头提供了坚如磐石、零松动的连接。立即在沙特阿拉伯租赁它，将 Arri 和 Zeiss 等优质电影玻璃安装到您紧凑的现代相机机身上，为您的制作注入独特的视觉特征。,استئجار محول عدسات PL إلى RF في الرياض,تأجير ميتابونز السعودية,"Rent Metabones PL to RF Mount Adapter in Riyadh, KSA",Cinema Lens Adapter Hire,在利雅得租赁 Metabones PL 转 RF 卡口转接环,电影镜头转接环出租,,,
Camera Acc ,,Meike EF-RF mount,,,,1,1,,,,,,,,,,,,20000025,,,0,hours,,,,,محول عدسات مايك من EF إلى RF مع فلتر داخلي,Meike EF to RF Drop-in Filter Mount Adapter,Meike EF 转 RF 插入式滤镜转接环,المرونة والسرعة في قطعة واحدة. يتيح لك محول Meike استخدام مكتبتك الضخمة من عدسات كانون EF على كاميرات RF الحديثة، مع ميزة ثورية: تركيب فلاتر ND متغيرة (أو فلاتر أخرى) مباشرة داخل المحول. وفر الوقت وصوّر بذكاء في السعودية.,"Flexibility and speed in one piece of gear. The Meike adapter lets you mount your massive library of Canon EF lenses onto modern RF cameras, with a revolutionary twist: a drop-in variable ND filter slot built right into the adapter. Save time and shoot smarter in KSA.",灵活性和速度集于一身。Meike 转接环让您能够将庞大的佳能 EF 镜头库安装到现代 RF 相机上，并具有一项革命性的创新：适配器内直接内置了插入式可调 ND 滤镜槽。在沙特节省时间并更智能地拍摄。,محول عدسات من EF إلى RF يدعم التركيز التلقائي، مجهز بفتحة لإسقاط فلاتر (Drop-in ND) خلف العدسة للتحكم السريع في الإضاءة.,"EF to RF autofocus lens adapter, featuring a rear drop-in filter slot (VND/Clear) for rapid exposure control behind the lens.",EF 转 RF 自动对焦镜头转接环，具有后置插入式滤镜槽（VND/透明），可在镜头后方进行快速曝光控制。,عند التصوير بكاميرا RED Komodo أو سلسلة Canon R، فإن تغيير الفلاتر الدائرية على العدسات المختلفة يستهلك وقتاً ثميناً. يقدم محول Meike EF to RF حلاً عبقرياً من خلال دمج فلتر ND متغير قابل للإسقاط (Drop-in) في المحول نفسه، خلف العدسة مباشرة! هذا يعني أن فلتر واحد يعمل مع جميع عدسات كانون EF الخاصة بك، بغض النظر عن حجم الفتحة الأمامية للعدسة. بالإضافة إلى ذلك، فإنه يدعم التركيز التلقائي الكامل (AF) ونقل بيانات العدسة (EXIF). استأجره اليوم لتبسيط سير عملك في الرياض.,"When shooting on a RED Komodo or Canon R-series camera, constantly swapping circular filters on different lenses eats up valuable set time. The Meike EF to RF adapter provides an ingenious solution by integrating a drop-in Variable ND filter right into the mount itself, directly behind the lens! This means one single VND filter covers all your Canon EF lenses, regardless of their front thread size. Furthermore, it supports full electronic autofocus (AF) and EXIF data transmission. Rent it today to drastically streamline your workflow in Riyadh.",在使用 RED Komodo 或佳能 R 系列相机拍摄时，不断在不同镜头上更换圆形滤镜会消耗宝贵的片场时间。Meike EF 转 RF 转接环提供了一个巧妙的解决方案，它将插入式可调 ND 滤镜直接集成到卡口本身，位于镜头正后方！这意味着一个 VND 滤镜即可覆盖您所有的佳能 EF 镜头，无论其前置螺纹尺寸是多少。此外，它支持全电子自动对焦 (AF) 和 EXIF 数据传输。今天就租赁它，大幅简化您在利雅得的工作流程。,استئجار محول عدسات كانون EF إلى RF مع فلتر في الرياض,تأجير مايك دروب إن,"Rent Meike EF to RF Drop-in Filter Adapter in Riyadh, KSA",Lens Adapter Hire,在利雅得租赁 Meike EF 转 RF 插入式滤镜转接环,镜头转接环出租,,,
Camera Acc ,,Nisi PL-E mount,,,,1,1,,,,,,,,,,,,20000026,,,0,hours,,,,,محول عدسات نيسي من PL إلى E-Mount,NiSi PL to E-Mount Adapter,NiSi PL 转 E 卡口转接环,جسر إلى السينما الاحترافية. اربط كاميرا Sony FX3 أو A7S III المفضلة لديك بأفضل وأقوى عدسات السينما في العالم. محول صلب بدقة جراحية يضمن عدم وجود أي اهتزاز لعدسات PL الثقيلة.,"A bridge to professional cinema. Connect your favorite Sony FX3 or A7S III to the world's finest, heaviest cinema lenses. A surgically precise, rock-solid adapter ensuring zero wiggle for heavy PL-mount glass.",通往专业电影的桥梁。将您最喜欢的索尼 FX3 或 A7S III 连接到世界上最好、最重的电影镜头。具有外科手术般精度的坚如磐石的转接环，确保沉重的 PL 卡口玻璃零松动。,محول عدسات سينمائي قوي يتيح تركيب عدسات PL الاحترافية على كاميرات سوني (E-Mount) بأمان تام.,Heavy-duty lens adapter allowing professional PL-mount cinema lenses to be securely mounted onto Sony E-Mount cameras.,重型镜头转接环，允许将专业的 PL 卡口电影镜头牢固地安装到索尼 E 卡口相机上。,لكي تحول كاميرات سوني ذات الإطار الكامل (Full-Frame) إلى كاميرات سينمائية حقيقية، تحتاج إلى تركيب عدسات سينمائية مناسبة. يقدم محول NiSi PL to Sony E-Mount حلاً هندسياً دقيقاً، مصنوعاً من الألومنيوم المستخدم في صناعة الطائرات، مما يوفر اتصالاً لا يتزعزع. إنه مصمم للتعامل مع أوزان عدسات الزوم السينمائية الثقيلة (مثل Angenieux أو Arri) دون إتلاف منفذ الكاميرا، بفضل توافقه العالي مع دعامات الكاميرا السفلية. استأجره في السعودية لرفع مستوى إنتاجك.,"To turn your full-frame Sony mirrorless cameras into true cinema rigs, you need to mount proper cinema lenses. The NiSi PL to Sony E-Mount adapter provides a precision-engineered solution. Machined from aviation-grade aluminum, it delivers a completely unshakeable connection. It is built to handle the extreme weight of heavy cinema zooms (like Angenieux or Arri) without ripping the mount off your camera, thanks to its high compatibility with baseplate lens supports. Rent it in KSA to level up your production.",要将您的全画幅索尼无反相机变成真正的电影设备，您需要安装合适的电影镜头。NiSi PL 转索尼 E 卡口转接环提供了一个精密设计的解决方案。它由航空级铝材加工而成，提供完全不可动摇的连接。得益于其与底板镜头支撑架的高度兼容性，它旨在承受沉重的电影变焦镜头（如 Angenieux 或 Arri）的极端重量，而不会撕裂相机的卡口。在沙特阿拉伯租赁它，提升您的制作水平。,استئجار محول نيسي PL إلى E-Mount في الرياض,تأجير محولات عدسات سوني,"Rent NiSi PL to E-Mount Adapter in Riyadh, KSA",Sony Cinema Adapter Hire,在利雅得租赁 NiSi PL 转 E 卡口转接环,索尼电影转接环出租,,,
Camera Acc ,,Blackmagic Convert SDI to HDMI 12G,,,,3,3,,,,,,,,,,,,20000027,,,0,hours,,,,,Blackmagic Convert SDI to HDMI 12G,,,,,,,,,,,,,,,,,,,,
Camera Acc ,,Blackmagic Convert HDMI to SDI 12G,,,,3,3,,,,,,,,,,,,20000028,,,0,hours,,,,,Blackmagic Convert HDMI to SDI 12G,,,,,,,,,,,,,,,,,,,,
Lenses ,,30000005,,,,1,1,,,,,,,,,,,,30000001,,16-24-32-50-58-135,0,hours,,,,,30000005,,,,,,,,,,,,,,,,,,,,
Lenses ,,"Dzofilm pictor 20-55 ,  50-125",,,,1,1,,,,,,,,,,,,30000002,,20-55 50-125,0,hours,,,,,طقم عدسات دزوفيلم بيكتور زوم (20-55 و 50-125),DZOFILM Pictor Zoom Set (20-55mm & 50-125mm),DZOFILM Pictor 变焦镜头套装 (20-55 & 50-125),السرد البصري السلس. يقدم طقم عدسات DZOFILM Pictor عدستي زوم سينمائيتين تغطيان جميع الزوايا من الواسعة إلى المقربة بفتحة T2.8 ثابتة. الخيار العملي والأجمل لصناع الأفلام الوثائقية والإنتاج المستقل في الرياض.,Seamless visual storytelling. The DZOFILM Pictor set delivers two cinematic zoom lenses covering everything from wide to telephoto with a constant T2.8 aperture. The most practical and beautiful choice for documentary and indie filmmakers in Riyadh.,无缝的视觉叙事。DZOFILM Pictor 套装提供两支电影变焦镜头，以恒定的 T2.8 光圈覆盖从广角到长焦的所有画面。利雅得纪录片和独立电影制作人最实用、最美丽的选择。,طقم عدسات زوم سينمائي Parfocal (يحافظ على الفوكس عند التقريب)، فتحة T2.8، وتغطية Super35.,"Parfocal cinema zoom lens set, constant T2.8 aperture, Super35 coverage, interchangeable PL/EF mounts.",齐焦电影变焦镜头套装，恒定 T2.8 光圈，Super35 覆盖范围，可互换 PL/EF 卡口。,صُمم طقم عدسات DZOFILM Pictor Zoom ليمنحك الحرية المطلقة في مواقع التصوير المتسارعة. بفضل التصميم البصري (Parfocal)، يمكنك عمل زوم (تكبير/تصغير) دون أن تفقد نقطة التركيز (Focus) إطلاقاً، مما يجعله طقماً لا يقدر بثمن في تصوير المقابلات الوثائقية والحركة الحية. توفر العدسات مظهراً سينمائياً كلاسيكياً مع تباين ناعم وتوهج (Flare) عضوي رائع. كما تتميز بنظام تركيب قابل للتبديل بين PL و EF، لتناسب كاميرات RED و Blackmagic والأنظمة الأخرى في السعودية بسلاسة.,"The DZOFILM Pictor Zoom set is designed to give you absolute freedom on fast-paced sets. Because of their true Parfocal optical design, you can crash-zoom in or out without ever losing your focus point, making them invaluable for live-action documentary and interview setups. The lenses deliver a classic cinematic look with smooth contrast and gorgeous, organic flares. Featuring an interchangeable mount system (PL and EF), they seamlessly adapt to RED, Blackmagic, and other cinema cameras across KSA.",DZOFILM Pictor 变焦套装旨在为您在快节奏的片场提供绝对的自由。得益于其真正的齐焦光学设计，您可以进行急推或急拉变焦而绝不会失去焦点，这使其在实景纪录片和采访设置中具有不可估量的价值。这些镜头提供经典的电影外观，具有平滑的对比度和华丽、有机的耀斑。采用可互换卡口系统（PL 和 EF），它们可以无缝适配整个沙特阿拉伯的 RED、Blackmagic 和其他电影摄影机。,استئجار عدسات دزوفيلم بيكتور زوم في الرياض,تأجير طقم عدسات سينمائية,"Rent DZOFILM Pictor Zoom Set in Riyadh, KSA",Parfocal Cinema Lens Hire,在利雅得租赁 DZOFILM Pictor 变焦套装,齐焦电影镜头出租,,,
Lenses ,,Sony E mount sigma art dg dn 24-70 mm,,,,2,2,,,,,,,,,,,,30000003,,,0,hours,,,,,Sony E mount sigma art dg dn 24-70 mm,,,,,,,,,,,,,,,,,,,,
Lenses ,,Luawa Z-d 12mm e mount,,,,1,1,,,,,,,,,,,,30000004,,,0,hours,,,,,Luawa Z-d 12mm e mount,,,,,,,,,,,,,,,,,,,,
Lenses ,,Sony  E mount g master 90 micro,,,,1,1,,,,,,,,,,,,30000005,,,0,hours,,,,,Sony  E mount g master 90 micro,,,,,,,,,,,,,,,,,,,,
Lenses ,,Sony E mount sigma art dg dn 135 mm,,,,1,1,,,,,,,,,,,,30000006,,,0,hours,,,,,Sony E mount sigma art dg dn 135 mm,,,,,,,,,,,,,,,,,,,,
Lenses ,,Sony E mount sigma art dg dn 50 mm,,,,1,1,100,400,1200,,,,,,,,,30000007,,,0,hours,,,,,Sony E mount sigma art dg dn 50 mm,,,,,,,,,,,,,,,,,,,,
Lenses ,,Sony E mount sigma art dg dn 35mm,,,,2,2,100,400,1200,,,,,,,,,30000008,,,0,hours,,,,,Sony E mount sigma art dg dn 35mm,,,,,,,,,,,,,,,,,,,,
Lenses ,,Sony E mount sigma art dg dn 14-24 mm,,,,1,1,,,,,,,,,,,,30000009,,,0,hours,,,,,Sony E mount sigma art dg dn 14-24 mm,,,,,,,,,,,,,,,,,,,,
Tripodgimbals ,,ronin rs4 pro combo,,,,1,1,200,800,2400,,,,,,,,,40000001,,"JI RS4 PRO Camera Gimbal
DJI BG30 Battery Grip
Quick-Release Plate (Arca-Swiss/Manfrotto)
Extended Grip/Tripod (Metal)
Briefcase Handle
Lens-Fastening Support (Extended)
Multi-Camera Control Cable (USB-C, 30 cm)
USB-C Charging Cable (40 cm)
Screw Kit
USB-C Power Cable (20 cm)
Mini-HDMI to Mini-HDMI Cable (20 cm)
Mini-HDMI to HDMI Cable (20 cm)
Mini-HDMI to Micro-HDMI Cable (20 cm)
Ronin Image Transmitter
Focus Pro Motor
FIZ Sticker
Focus Pro Motor Rod Mount Kit
Focus Gear Strip
Lower Quick-Release Plate (Extended)
Phone Holder
Carrying Case",0,hours,,,,,ronin rs4 pro combo,,,,,,,,,,,,,,,,,,,,
Tripodgimbals ,,Tilta Slider dolly,,,,1,1,,,,,,,,,,,,40000002,,"1x Bowl
8x 40mm Rod
4x Adapter
6x Rail connector
2x Slider Supporter
4x Aluminum
1x Rail extension Support",0,hours,,,,,Tilta Slider dolly,,,,,,,,,,,,,,,,,,,,
Tripodgimbals ,,Tilta Float,,,,1,1,,,,,,,,,,,,40000003,,"Support Vest
Stabilizer Arm
Mounting Post
Monitor Bracket
Power Supply Baseplate
2-Pin to 2-Pin LEMO-Type Cable
D-Tap to 2-Pin LEMO-Type Cable
Wireless Thumb Controller
Wireless Control Module Receiver
V-Mount Battery Plate
Tilta Adjustable Cold Shoe Phone Mounting Bracket (Black)
Tool Kit
Carry Case",0,hours,,,,,Tilta Float,,,,,,,,,,,,,,,,,,,,
Tripodgimbals ,,Tilta hydra arm,,,,1,1,,,,,,,,,,,,40000004,,"Hydra Alien Dovetail Plate Kit (L1, L2, L3, L4)
Hydra Alien Dovetail Connector Plate
Hydra Alien Large Suction Cup
2 x Hydra Alien Small Suction Cup
Hydra Alien Shock-Absorbing Arm with Hydraulic Damping Pole
Hydra Alien Shock-Absorbing Head
Hydra Alien 90° Adapter for Shock-Absorbing Head
Power Supply Baseplate for DJI RS 2
Power Cable for Power Supply Baseplate
Hydra Alien Dual Battery Plate Support Bracket
2 x Hydra Alien V-Mount Battery Plate
8 x Counterweight (7.8 oz)
10 x Hydra Alien Cable Clamp Suction Cup
Safety Belt
Hydra Alien Tool Kit",0,hours,,,,,Tilta hydra arm,,,,,,,,,,,,,,,,,,,,
Tripodgimbals ,,FlyCam Flowline,,,,1,1,,,,,,,,,,,,40000005,,5-12 kg,0,hours,,,,,FlyCam Flowline,,,,,,,,,,,,,,,,,,,,
Tripodgimbals ,,Easyrig V5 ACE,,,,1,1,,,,,,,,,,,,40000006,,,0,hours,,,,,Easyrig V5 ACE,,,,,,,,,,,,,,,,,,,,
Tripodgimbals ,,Benro tripod,,,,1,1,,,,,,,,,,,,40000007,,,0,hours,,,,,Benro tripod,,,,,,,,,,,,,,,,,,,,
Tripodgimbals ,,Slider E-image ES120,,,,1,1,,,,,,,,,,,,40000008,,,0,hours,,,,,Slider E-image ES120,,,,,,,,,,,,,,,,,,,,
Tripodgimbals ,,Komodo Dolly,,,,1,1,,,,,,,,,,,,40000009,,,0,hours,,,,,Komodo Dolly,,,,,,,,,,,,,,,,,,,,
Tripodgimbals ,,Armour H15 Tripod,,,,1,1,,,,,,,,,,,,40000010,,,0,hours,,,,,Armour H15 Tripod,,,,,,,,,,,,,,,,,,,,
Tripodgimbals ,,Veo 2Pro Tripod,,,,1,1,,,,,,,,,,,,40000011,,,0,hours,,,,,Veo 2Pro Tripod,,,,,,,,,,,,,,,,,,,,
Tripodgimbals ,,Hi Hat Tripod,,,,1,1,,,,,,,,,,,,40000012,,,0,hours,,,,,Hi Hat Tripod,,,,,,,,,,,,,,,,,,,,
Boxes,,Hard case,,,,1,1,,,,,,,,,,,,50000001,,,0,hours,,,,,Hard case,,,,,,,,,,,,,,,,,,,,
Boxes,,Hard case  #2,,,,1,1,,,,,,,,,,,,50000002,,,0,hours,,,,,Hard case  #2,,,,,,,,,,,,,,,,,,,,
Boxes,,Hard case  #3,,,,1,1,,,,,,,,,,,,50000003,,,0,hours,,,,,Hard case  #3,,,,,,,,,,,,,,,,,,,,
Boxes,,Hard case  #4 small,,,,1,1,,,,,,,,,,,,50000004,,,0,hours,,,,,Hard case  #4 small,,,,,,,,,,,,,,,,,,,,
Boxes,,prol Casebag #5,,,,1,1,,,,,,,,,,,,50000005,,,0,hours,,,,,prol Casebag #5,,,,,,,,,,,,,,,,,,,,
Boxes,,prol Casebag #6,,,,1,1,,,,,,,,,,,,50000006,,,0,hours,,,,,prol Casebag #6,,,,,,,,,,,,,,,,,,,,
Boxes,,Hard case #4,,,,1,1,,,,,,,,,,,,50000007,,,0,hours,,,,,Hard case #4,,,,,,,,,,,,,,,,,,,,
Boxes,,Hard case #5,,,,1,1,,,,,,,,,,,,50000008,,,0,hours,,,,,Hard case #5,,,,,,,,,,,,,,,,,,,,
